CookerStat, GenerateAssetRegistry=0.020526, Initialize=0.107769, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdF8B3AA954CC40D430A4DBC9941BC7B71_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1CC0A77347D4AD762E67C29BE04CD0B2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=7.748630, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdB17CCDEE4E1EB83E9C8DF09EE8782BE1_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5CBD94E540D1ABBD90651283557BCACA_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=7.374860, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionId74AD19A34EA24EBF94E1F09381B85F4F_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BF1E04B64F3C26843261EE80CD654A16_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=1.012251, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionId25787EBC4AC71F7044AF50BE009B567F_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_AB740F174CB2ACF9A35A7988D107C2B6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=0.807408, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdAA2A2DCA47882B9183EAC9866339F694_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_AB740F174CB2ACF9A35A7988D107C2B6__9F393D76797F5816949754C0F5B2DFF3CC9E6DC9, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=3267, Duration=12.348030, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdCCB5D6B0466F11757BBB11BB3E4D9457_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BF1E04B64F3C26843261EE80CD654__6963937C233465649EF505F88D5CEA334974A07C, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=6014, Duration=11.045400, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdB465C9E948766D4D54225DA8A1A8AAE3_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5CBD94E540D1ABBD90651283557BCACA__B72DEC3EE73BA17CD80F3979CAA3A4FB67EDF107, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=33028, Duration=21.013542, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdCCB5D6B0466F11757BBB11BB3E4D9457_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5CBD94E540D1ABBD90651283557BCACA__6769BDEA1016320CC57265FF8F29295D0E88CD6C, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=8452, Duration=8.686044, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdAA2A2DCA47882B9183EAC9866339F694_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1CC0A77347D4AD762E67C29BE04CD__ABF654FD018BAE7033D516D84C9A8F687488CF3B, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=65799, Duration=20.187319, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionId25787EBC4AC71F7044AF50BE009B567F_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_71C96A9D4D5DE73175DE6BB72D8F6E3B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=0.978470, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionId9215463D4CEE8EC9B3DC81B514F5FB23_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_D988A64E45166FF98A794BA7CE73A10D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.55.34, Duration=0.176620, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdCCB5D6B0466F11757BBB11BB3E4D9457_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5CBD94E540D1ABBD90651283557BCACA__46FB3189AEAA89361957232FAC9BCB87CB750361, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=3851, Duration=5.062547, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdCCB5D6B0466F11757BBB11BB3E4D9457_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1CC0A77347D4AD762E67C29BE04CD__0A01FB5DD7ABC6FFDF4B9BFFF0D04CA0BF0E6EDE, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=16647, Duration=10.420602, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdB465C9E948766D4D54225DA8A1A8AAE3_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1CC0A77347D4AD762E67C29BE04CD__1A629E62C6E36E81FA34FFCD7BE9966F45100A3F, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=6604, Duration=7.799521, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdAA2A2DCA47882B9183EAC9866339F694_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_D988A64E45166FF98A794BA7CE73A10D_0__4D1E7DB9E528ADBD3AB71B59945F038894F3B40B, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=3250, Duration=8.513700, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdB465C9E948766D4D54225DA8A1A8AAE3_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_71C96A9D4D5DE73175DE6BB72D8F6E3B_0__2C6DCBCD17D9606E137CC3CAA31EE2DEF5668E0D, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=33026, Duration=6.273229, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdCCB5D6B0466F11757BBB11BB3E4D9457_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_71C96A9D4D5DE73175DE6BB72D8F6E3B_0__3472C514F90F70C803B62A7BE64CE81CDE9A22D2, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=8449, Duration=9.448118, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdAA2A2DCA47882B9183EAC9866339F694_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_71C96A9D4D5DE73175DE6BB72D8F6E3B_0__3076FA70E81E73404BEE4F9C5EC10D455E533359, StartTime=2016.04.11-11.55.34, HierarchicalDDC=, DataSize=3829, Duration=8.375142, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionId3C2D847A4BE9BE62C906EEBFDE2B39F7_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_90504AC84B7FACCD10865492FCE97175_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.11-11.56.24, Duration=644.163452, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
DDCTransactionIdB465C9E948766D4D54225DA8A1A8AAE3_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_90504AC84B7FACCD10865492FCE97__2BD692D04B47AFA16C8C79C517AAAC9FA4F0FA7D, StartTime=2016.04.11-11.56.25, HierarchicalDDC=, DataSize=960310, Duration=7.284202, RunGuid=RunIDBF4B436F4856176524E3CDB99C27115E
